layer_1_term_1,index,x,y_pred,y_true,y_best,final_ans_in_last_layer,y_pred_similarity_score,y_pred_similarity_percentile,y_best_similarity_score,y_best_similarity_percentile,layer_1_term_1_votes,layer_1_term_2,layer_1_term_2_votes,layer_1_term_3,layer_1_term_3_votes,layer_2_term_1,layer_2_term_1_votes,layer_2_term_2,layer_2_term_2_votes,layer_2_term_3,layer_2_term_3_votes,layer_2_term_4,layer_2_term_4_votes,layer_2_term_5,layer_2_term_5_votes,layer_2_term_6,layer_2_term_6_votes,layer_3_term_1,layer_3_term_1_votes,layer_3_term_2,layer_3_term_2_votes,layer_3_term_3,layer_3_term_3_votes,layer_3_term_4,layer_3_term_4_votes,layer_3_term_5,layer_3_term_5_votes,layer_3_term_6,layer_3_term_6_votes,layer_4_term_1,layer_4_term_1_votes,layer_4_term_2,layer_4_term_2_votes,layer_4_term_3,layer_4_term_3_votes,layer_4_term_4,layer_4_term_4_votes,layer_4_term_5,layer_4_term_5_votes,layer_4_term_6,layer_4_term_6_votes,layer_5_term_1,layer_5_term_1_votes,layer_5_term_2,layer_5_term_2_votes,layer_5_term_3,layer_5_term_3_votes,layer_5_term_4,layer_5_term_4_votes,layer_5_term_5,layer_5_term_5_votes,layer_5_term_6,layer_5_term_6_votes
Lipid metabolic process,0,LDLRAP1 SCP2D1 ANXA2 SCP2,Clathrin-mediated LDL receptor endocytosis,positive regulation of intracellular cholesterol transport,Intracellular cholesterol transport,TRUE,0.3870972,0.926559686,0.8112261,0.999263141,1,Cellular transport,0,Regulation of cholesterol metabolic process,1,Cholesterol metabolic process,1,Phospholipid binding,0,Lipid transport,1,Regulation of cholesterol efflux,0,Regulation of lipoprotein particle receptor binding,0,Sterol transport,0,LDL cholesterol particle clearance,1,Cholesterol esterification,0,Cholesterol efflux,1,Intracellular lipid transport,0,Cholesterol efflux,1,Phospholipid transport,0,LDL receptor recycling,1,Intracellular cholesterol trafficking,0,Cholesterol esterification,0,HDL-mediated cholesterol efflux,0,ABCA1-dependent cholesterol efflux,0,Cellular cholesterol homeostasis,1,Clathrin-mediated LDL receptor endocytosis,*,LDL receptor to early endosome transport,0,LDL receptor exocytosis,0,LDL receptor recycling,0,Intracellular cholesterol transport,1,Phospholipid membrane organization,0
Immune system process,1,NOD1 HLA-DRA CLEC4A HLA-DRB1 CCL21 NOD2 CCL19 SLC11A1 HLA-DRB3 CCR7 CD68 FCGR2B THBS1 FGL2 CD74,MHC class II antigen processing and presentation,dendritic cell antigen processing and presentation,Antigen uptake and processing by dendritic cells,TRUE,0.7468685,0.997543802,0.928318,0.999918127,1,Inflammatory response,0,Antigen processing and presentation,1,Antigen processing and presentation,1,Chemokine-mediated signaling pathway,0,Innate immune response,0,MHC class II protein complex assembly,0,Exogenous antigen presentation via MHC class II,1,Regulation of antigen processing and presentation,0,MHC class II protein complex assembly,0,Antigen presentation to CD4 T cells,1,Endosomal antigen processing,1,Peptide loading onto MHC class II molecule,0,Endosomal antigen processing,1,MHC class II molecule recycling,0,MHC class II antigen processing,1,CD4+ T cell priming,1,Antigen uptake and processing by dendritic cells,0,MHC class II antigen presentation,0,Exogenous antigen loading onto MHC class II,0,Invariant chain cleavage and CLIP removal,0,MHC class II peptide loading,0,Exogenous antigen processing for MHC class II,0,Invariant chain degradation,0,MHC class II antigen processing and presentation,*,Chemokine-mediated signaling pathway,1,CD4+ T cell co-stimulation,0
DNA repair,2,OGG1 ERCC5 XPA ERCC4 NTHL1,DNA damage recognition in GG-NER,"nucleotide-excision repair, DNA incision",Nucleotide excision repair,TRUE,0.71089345,0.999590634,0.82389104,0.999672507,1,Response to DNA damage stimulus,0,Maintenance of genome integrity,1,Nucleotide excision repair,1,Base excision repair,1,DNA damage recognition,0,DNA repair,0,Nucleotide excision repair,1,Base excision repair,1,Global genome nucleotide excision repair,1,Transcription-coupled nucleotide excision repair,0,DNA damage recognition in nucleotide excision repair,0,DNA glycosylase activity,1,AP site formation,0,"DNA damage response, signal transduction by p53 class mediator",0,DNA damage recognition in GG-NER,1,Dual incision in GG-NER,1,Post-excision DNA repair synthesis in GG-NER,0,8-oxoguanine repair,0,Base excision repair initiation,0,Pyrimidine dimer repair,0,DNA damage verification in GG-NER,1,Recruitment of DNA repair endonucleases in GG-NER,1,DNA helix unwinding in GG-NER,0,DNA damage recognition in GG-NER,*,DNA repair synthesis in GG-NER,0,DNA ligation in GG-NER,0
Transport,3,SLC7A11 SLC25A39 SLC26A6 ABCB9 SLC15A4 ABCC5 CDH17 SLC15A3 ABCC4 SLC13A3 GJA1 SLC15A1 SLC15A2 ABCC1 CA2,Proton-coupled oligopeptide transmembrane transport,oligopeptide transmembrane transport,Proton-coupled oligopeptide transmembrane transport,TRUE,0.90990525,0.999918127,0.90990525,0.999918127,1,Regulation of ion homeostasis,1,Cellular response to external stimulus,0,Transmembrane transport,1,Ion transport,1,Intercellular communication,0,Regulation of cation homeostasis,0,Regulation of anion homeostasis,0,Regulation of intracellular pH,0,Cation transmembrane transport,0,Amino acid transmembrane transport,1,ATP-binding cassette (ABC) transporter activity,1,Bicarbonate transport,0,Amino acid transmembrane transport,1,Sulfate transport,0,Proton-coupled amino acid transmembrane transport,1,Cystine transport,0,Glutamate secretion,0,ABCB subfamily transporter activity,0,Multidrug resistance-associated protein activity,1,ABC transporters involved in lipid transport,0,Proton-coupled oligopeptide transmembrane transport,*,Histidine transport,0,Regulation of proton-coupled amino acid transport,1,ABCC1-mediated drug transport,0,ABCC4-involved regulation of intracellular cAMP levels,0,ABCC5-mediated glutamate transport,0
Signal transduction,4,OPN3 CDH3 ATP7A APPL1 ASIP RAB38 ZEB2 TYRP1 GIPC1,Non-visual phototransduction,positive regulation of melanin biosynthetic process,Melanin biosynthetic process,TRUE,0.32639238,0.72023907,0.7668089,0.999345014,1,Cell adhesion,0,Pigmentation,1,G protein-coupled receptor signaling pathway,1,Pigmentation,1,Cell adhesion,0,Melanin biosynthetic process,0,Melanosome organization,0,Regulation of melanocyte differentiation,0,Opsin-mediated signaling pathway,1,Adipocyte differentiation,0,Melanosome transport,0,Melanin biosynthetic process,1,Melanosome organization,0,Skin pigmentation,0,Phototransduction,0,Visual phototransduction,0,Non-visual opsin signaling,1,Eumelanin biosynthetic process,1,Pheomelanin biosynthetic process,0,Melanosome organization,0,Non-visual phototransduction,*,Melanogenesis regulation by non-visual opsins,1,Epithelial cell adhesion regulation by non-visual opsins,0,Tyrosinase-related protein 1 activity,0,DOPAchrome tautomerase activity,0,Melanosome organization,0
Protein processing,5,ZMPSTE24 NIBAN2 PIK3CA,Prelamin A processing,hypomethylation of CpG island,Nuclear lamina maintenance,TRUE,0.24541524,0.237596201,0.3277586,0.671442607,1,Cell growth and death regulation,0,Intracellular signaling,1,Proteolysis involved in cellular protein catabolic process,1,ER-associated ubiquitin-dependent protein catabolic process,0,Regulation of protein stability,0,PI3K-AKT signaling pathway,1,Cellular response to stress,0,Regulation of proteolysis involved in cellular protein catabolic process,0,Prelamin A processing,1,Regulation of autophagy,0,PI3K-Akt signaling pathway,1,Cellular response to insulin stimulus,0,Angiogenesis,0,Cell growth and proliferation,0,Nuclear envelope organization,1,Regulation of cell cycle,0,Nuclear lamina maintenance,0,Cellular response to insulin stimulus,1,Angiogenesis,0,Apoptotic process,0,Prelamin A processing,*,Nuclear lamina assembly,1,Nuclear envelope biogenesis,0,Glucose transport,0,Glycogen biosynthesis,0,Regulation of glucose homeostasis,0
Angiogenesis,6,TEK ANGPT1 SVEP1 ANGPT2,ANGPT1-TEK signaling pathway in angiogenesis,Tie signaling pathway,Angiopoietin-TIE signaling pathway,TRUE,0.7769695,0.999918127,0.91500014,0.999918127,1,Vascular development,1,Cell-cell signaling,0,Angiopoietin-TIE signaling pathway,1,Blood vessel remodeling,0,Endothelial cell proliferation,0,Angiogenesis,1,Blood vessel maturation,0,Endothelial cell proliferation,0,TEK receptor activation,1,Angiopoietin-1 mediated signaling,0,Blood vessel maturation,0,Endothelial cell migration,0,Sprouting angiogenesis,1,Vascular permeability regulation,0,ANGPT1-mediated TEK receptor activation,1,ANGPT2-mediated TEK receptor antagonism,0,Blood vessel maturation via TEK signaling,1,Endothelial cell proliferation,0,Vascular endothelial growth factor signaling pathway,0,Endothelial cell migration,0,ANGPT1-TEK signaling pathway in endothelial cell survival,0,ANGPT1-TEK signaling pathway in angiogenesis,*,Negative regulation of vascular permeability by ANGPT1-TEK signaling,0,TEK receptor activation in endothelial cells,1,Angiopoietin-TIE signaling pathway,0,Extracellular matrix organization via SVEP1,0
DNA repair,7,PRDM9 PRDM7 RAD51AP1 UBE2B,Homologous recombination repair,positive regulation of reciprocal meiotic recombination,Meiotic recombination,TRUE,0.57613903,0.996151957,0.6905608,0.997216309,1,Cell cycle,0,Chromatin modification,1,Homologous recombination,1,Double-strand break repair,0,DNA damage response,1,Histone methylation,0,Meiotic recombination,0,DNA repair,0,Meiotic recombination,1,DNA strand exchange,0,DNA repair synthesis,0,Homologous recombination repair,1,Ubiquitination in DNA repair,0,Meiotic recombination,1,Meiotic DSB formation,1,Synapsis,1,Crossover resolution,0,Strand invasion and pairing,0,DNA strand exchange,0,Holliday junction resolution,0,Homologous chromosome synapsis,0,Homologous recombination repair,*,Meiotic crossover formation,1,Homologous Chromosome Pairing Stabilization,0,Meiotic DNA Strand Exchange,0,DNA Repair during Meiosis,0
Gene expression,8,MDFIC RSF1 DHX9,ATP-dependent chromatin remodeling,positive regulation of viral transcription,Transcription regulation,TRUE,0.25019607,0.249140331,0.4493335,0.938676928,1,Chromatin organization,1,Cellular response to stress,0,Transcription regulation,1,Chromatin remodeling,1,RNA processing,0,Chromatin remodeling,1,Regulation of transcription from RNA polymerase II promoter,0,ATP-dependent helicase activity,0,Chromatin remodeling,1,RNA splicing,0,Transcriptional repression,0,Nucleosome positioning,1,Histone modification,0,ATP-dependent chromatin remodeling,0,Histone acetylation,0,Nucleosome repositioning,1,ATP-dependent chromatin remodeling,1,Nucleosome sliding,0,Nucleosome assembly,0,Transcriptional regulation,0,ATP-dependent chromatin remodeling,*,Transcriptional regulation via chromatin remodeling,0,Chromatin silencing at rDNA,0,Regulation of transcription by ATP-dependent chromatin remodeling,0,Nucleosome disassembly,1,DNA repair,0
Gene expression,9,WDR4 METTL1 BUD23 RNMT TRMT112 RAMAC,tRNA wobble base m7G46 methylation,RNA (guanine-N7)-methylation,tRNA m7G methylation,TRUE,0.51298875,0.998526281,0.76692235,0.999590634,1,RNA processing,1,Cellular macromolecule metabolic process,0,mRNA methylation,1,rRNA modification,1,mRNA capping,0,tRNA modification,0,mRNA capping,0,rRNA modification,1,tRNA m7G methylation,1,mRNA cap methylation,1,rRNA methylation,0,18S rRNA (cytoplasmic) methylation,0,tRNA methylation,0,rRNA 2'-O-methylation,0,tRNA m7G46 methylation,1,tRNA wobble base modification,0,tRNA stability and localization,0,mRNA cap 0 methylation,1,mRNA cap 1 methylation,0,mRNA cap 2 methylation,0,tRNA wobble base m7G46 methylation,*,tRNA m7G46 methylation quality control,0,tRNA m7G46 methylation-dependent tRNA stabilization,0,mRNA cap 0 methylation by RNMT-RAMAC complex,1,mRNA cap 0 methylation cofactor binding,0,mRNA cap 0 methylation regulation by BUD23,0
