index,x,y_pred,y_true,similarity_score,similarity_percentile
0,"['LDLRAP1', 'SCP2D1', 'ANXA2', 'SCP2']",Lipid Homeostasis and Membrane Trafficking,positive regulation of intracellular cholesterol transport,0.3832982,0.8499263140658261
1,"['NOD1', 'HLA-DRA', 'CLEC4A', 'HLA-DRB1', 'CCL21', 'NOD2', 'CCL19', 'SLC11A1', 'HLA-DRB3', 'CCR7', 'CD68', 'FCGR2B', 'THBS1', 'FGL2', 'CD74']",Antigen Processing and Presentation Pathway,dendritic cell antigen processing and presentation,0.84383124,0.9995087604388406
2,"['OGG1', 'ERCC5', 'XPA', 'ERCC4', 'NTHL1']",Nucleotide Excision Repair (NER),"nucleotide-excision repair, DNA incision",0.78436863,0.9997543802194203
3,"['SLC7A11', 'SLC25A39', 'SLC26A6', 'ABCB9', 'SLC15A4', 'ABCC5', 'CDH17', 'SLC15A3', 'ABCC4', 'SLC13A3', 'GJA1', 'SLC15A1', 'SLC15A2', 'ABCC1', 'CA2']",Transmembrane Transport Systems,oligopeptide transmembrane transport,0.6138634,0.9965613230718847
4,"['OPN3', 'CDH3', 'ATP7A', 'APPL1', 'ASIP', 'RAB38', 'ZEB2', 'TYRP1', 'GIPC1']",Melanogenic Regulatory Pathway,positive regulation of melanin biosynthetic process,0.50948465,0.991485180939905
5,"['ZMPSTE24', 'NIBAN2', 'PIK3CA']",Proteolysis Regulation in PI3K Signaling,hypomethylation of CpG island,0.37946278,0.8875061404945145
6,"['TEK', 'ANGPT1', 'SVEP1', 'ANGPT2']",Angiogenesis Regulation,Tie signaling pathway,0.506561,0.9821516292778778
7,"['PRDM9', 'PRDM7', 'RAD51AP1', 'UBE2B']",Meiotic Recombination Regulation,positive regulation of reciprocal meiotic recombination,0.7012878,0.9984444080563288
8,"['MDFIC', 'RSF1', 'DHX9']",Chromatin Remodeling and RNA Processing,positive regulation of viral transcription,0.2641021,0.2767316194530866
9,"['WDR4', 'METTL1', 'BUD23', 'RNMT', 'TRMT112', 'RAMAC']",tRNA and mRNA Modification and Maturation,RNA (guanine-N7)-methylation,0.43270957,0.9239397412804978
10,"['DHX58', 'C1QBP', 'RIOK3', 'TKFC']",Viral Response and Innate Immunity Modulation,negative regulation of MDA-5 signaling pathway,0.40891865,0.9192729654494842
11,"['CEP250', 'GSK3B', 'UBXN2B', 'CEP72', 'PARD6A', 'NUP62', 'MARK4', 'APC', 'BICD1', 'NSFL1C']",Regulation of Microtubule Dynamics and Mitotic Spindle Assembly,regulation of protein localization to centrosome,0.51971996,0.9823972490584575
12,"['PLA2G3', 'IL1B', 'AVP', 'PTGS2', 'AVPR1A', 'CD74', 'ANXA1']",Inflammatory Response Modulation,positive regulation of prostaglandin biosynthetic process,0.14281067,0.02014082200753234
13,"['ZFPM1', 'TGFBR2', 'HEY2', 'TBX20', 'BMPR2', 'BMPR1A']",Cardiac Development and Homeostasis Regulation,tricuspid valve development,0.54749674,0.9817422629769117
14,"['DLX1', 'SIX3', 'ASCL1', 'BCHE', 'DLX2', 'TAFA3', 'TAFA1', 'NOTCH3']",Neurogenesis and Neural Differentiation,neuroblast differentiation,0.86275506,0.9996725069592272
15,"['KLF4', 'CXCL12', 'CCL21', 'CCL25', 'CCL28']",Chemotactic Immune Regulation,negative regulation of leukocyte adhesion to vascular endothelial cell,0.3584633,0.6251023415752415
16,"['PGLYRP3', 'PGLYRP1', 'PGLYRP2']",Peptidoglycan Recognition and Antimicrobial Activity,negative regulation of natural killer cell differentiation involved in immune response,0.23808803,0.2350581300147372
17,"['TGFBR1', 'TGFBR2', 'ACVR1', 'ENG', 'TGFB2']",TGF-β Signaling Pathway Modulation,positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,0.25754666,0.5178483707221222
18,"['FOXC2', 'CXCR4', 'XBP1', 'SMOC2']",Angiogenesis and Vasculogenesis Regulation,positive regulation of vascular wound healing,0.55782354,0.9923039135418372
19,"['HP', 'MT3', 'SNCA']",Neuroprotective Metal Ion Regulation,regulation of hydrogen peroxide catabolic process,0.4750675,0.9510397904044539
20,"['CRKL', 'EDNRA', 'EDN1', 'PTK2B', 'BCAR3', 'EDNRB', 'BCAR1', 'CDC42', 'GNA11', 'SIX1']",Endothelin Signaling Modulation and Actin Cytoskeleton Regulation,endothelin receptor signaling pathway,0.80791986,0.9999181267398067
21,"['IL23A', 'IL15', 'TYK2', 'IL12B', 'FCGR3A', 'PTPN22', 'EMP2', 'HLA-E', 'IL18', 'LEP', 'STAT5B', 'SLAMF1', 'ELF4', 'JAK2', 'IL23R']",Cytokine Mediated Immune Regulation,natural killer cell proliferation,0.3584119,0.7741116751269036
22,"['WNT5A', 'RYK', 'FZD3']",Non-canonical Wnt Signaling,dopaminergic neuron axon guidance,0.3496067,0.8463238906173244
23,"['NR1H4', 'SIRT1', 'TRPM4', 'NCOA1', 'NCOA2', 'GHRL', 'PPARG', 'SORL1']",Regulation of Lipid Metabolism and Energy Homeostasis,positive regulation of adipose tissue development,0.4904791,0.9764205010643524
24,"['NGEF', 'EFNA1', 'PTEN', 'DTNBP1', 'DNM3', 'NLGN1']",Signal Transduction and Synaptic Modulation,negative regulation of dendritic spine morphogenesis,0.3796913,0.7662518421483544
25,"['PGR', 'ESR1', 'WNT4', 'AR', 'CSMD1', 'VDR', 'MED1']",Hormonal Signal Integration and Response Modulation,mammary gland branching involved in pregnancy,0.3111902,0.5058130014737187
26,"['BMP4', 'ADIPOQ', 'HNF1B', 'STAT1', 'OSR1']",Developmental Signaling and Metabolic Regulation,negative regulation of kidney development,0.36234084,0.5657442279351563
27,"['CAD', 'UCK1', 'UCK2', 'CDA', 'UMPS', 'CMPK1', 'UPP1', 'UPP2', 'UCKL1', 'DHODH']",Pyrimidine Biosynthesis and Metabolism,UMP biosynthetic process,0.616506,0.9954150974291797
28,"['SPART', 'WNT3A', 'WNT3']",Wnt Signaling Pathway Modulation,regulation of collateral sprouting in absence of injury,0.37914228,0.9311445881775012
29,"['SULT1E1', 'DIO2', 'MME', 'HSD17B11', 'IDE', 'ECE1', 'ACE', 'HSD17B6', 'DIO3', 'SPP1', 'SRD5A1', 'CYP19A1']",Steroid Hormone Metabolism and Regulation,hormone catabolic process,0.4769324,0.9755198952022269
30,"['OPRK1', 'SGIP1', 'GHSR', 'AGRP', 'NR4A3', 'GHRL', 'RXFP4', 'NPY', 'INSL5', 'MC1R', 'CFAP20']",Hypothalamic-Pituitary-Adrenal (HPA) Axis Modulation and Energy Homeostasis,positive regulation of feeding behavior,0.35214528,0.8021942033731784
31,"['HEG1', 'PTGS2', 'RGCC', 'WNT11', 'ROCK2', 'AIF1']",Regulation of Angiogenesis and Inflammation,regulation of fibroblast growth factor production,0.40485275,0.9095300474864909
32,"['SLC44A4', 'SLC19A2', 'SLC25A19', 'SLC19A3']",Transportome Coordination in Thiamine and Nucleotide Transport,thiamine transmembrane transport,0.77767277,0.9999181267398067
